folderId,seq,favoriteType,color,memo,display1,display2,x,y,lon,lat,key,createdAt,updatedAt
4049789,599823708,PLACE,6,,우리지구,서울 은평구 연서로 455 제각말5단지 541동 1층 상가102호 (진관동),484982,1148879,126.9319416,37.6355593,904110160,2023-10-04 13:07:24,2023-10-04 13:07:24
4049789,599221385,PLACE,7,숙소,나마스떼민박,경남 하동군 적량면 서촌길 39-1 (적량면 서리),673997,451652,127.7635174,35.11987675,1815121032,2023-10-03 10:50:37,2023-10-03 10:50:37
4049789,598396652,PLACE,2,,원스텝리사이클,인천 계양구 안산로 47-2 (임학동),441231,1123472,126.7340019,37.54371418,1802531283,2023-10-01 13:23:28,2023-10-01 13:23:28
4049789,593475318,PLACE,2,,용기내요,경북 경산시 박물관로7길 3-15 (사동),898201,647838,128.7624126,35.81665848,1078687966,2023-09-20 22:31:43,2023-09-20 22:31:43
4049789,589833161,PLACE,2,,선택지,서울 강동구 천호옛12길 47 1층 (성내동),528120,1120935,127.1272623,37.53479915,928455982,2023-09-13 23:03:37,2023-09-13 23:03:37
4049789,589236774,PLACE,2,,한걸음가게,광주 동구 충장로 45-2 (충장로4가),480269,459451,126.9133865,35.15036767,2020995191,2023-09-12 20:18:19,2023-09-12 20:18:19
4049789,583040737,PLACE,7,책방 내 리필스테이션,주책방,경남 창원시 성산구 창이대로719번길 17 (사파동),887674,482492,128.7032,35.2214875,495967182,2023-08-31 20:57:48,2023-08-31 20:57:48
4049789,578322328,PLACE,6,우리밀 빵집 겸 제웨샵,느긋한쌀빵,전남 구례군 구례읍 봉서산정길 61-8 (구례읍 봉서리),604152,473109,127.4574732,35.19877746,531468061,2023-08-22 15:42:11,2023-08-22 15:42:11
4049789,567898422,PLACE,6,,밋자인,서울 영등포구 당산로16길 17-1 1층 (당산동1가),477465,1117535,126.8980303,37.52257008,843687989,2023-08-02 19:39:41,2023-08-02 19:39:41
4049789,564617466,PLACE,6,,두더지짜이집,서울 마포구 방울내로6길 8 1층 (망원동),478280,1127662,126.9016702,37.55907266,2146829501,2023-07-27 16:08:24,2023-07-27 16:08:24
4049789,559831268,PLACE,6,,J-하트 제로웨이스트샵,경기 고양시 덕양구 지정로 110 위스테이지축 상가동 105호 (지축동),482786,1154064,126.9219725,37.65423773,1611291500,2023-07-18 12:25:46,2023-07-18 12:25:46
4049789,559831184,PLACE,6,카페,제로마켓,서울 은평구 통일로 684 서울혁신파크 (녹번동),485641,1141622,126.9349542,37.60940714,499992893,2023-07-18 12:25:36,2023-07-18 12:25:36
